Location,price_php_millions,Bedrooms,Bathrooms,Floor Area,Land Area,Town/Barangay,Municipality/City,Province/NCR
"New Manila, Quezon City",188.96,3.0,3.0,350.0,969.0,Mariana,Quezon City,Metro Manila
"Ayala Alabang, Muntinlupa",220.0,5.0,5.0,749.0,883.0,New Alabang Village,Muntinlupa,Metro Manila
"Panungyanan, General Trias, Calabarzon, Philippines Panungyanan, General Trias",4.14,3.0,2.0,77.25,120.0,Panungyanan,General Trias,Cavite
"Siling Matanda, Pandi",1.23,2.0,1.0,46.6,40.0,Siling Matanda,Pandi,Bulacan
"Mactan, Lapu-Lapu",15.0,4.0,,300.0,363.0,Mactan,Lapu-Lapu,Cebu
"Along Calle Rizal, Brgy Sta Barbara Baliuag City Bulacan Santa Barbara, Baliuag",9.8,5.0,3.0,209.0,204.0,Sta Barbara,Baliuag City,Bulacan
"San Francisco, Binan",5.9,2.0,2.0,70.85,84.0,San Francisco (Halang),Biñan,Laguna
"New Manila, Quezon City",130.0,5.0,5.0,550.0,300.0,Mariana,Quezon City,Metro Manila
"Lumina Tanza, Bagtas, Tanza, Cavite, Philippines Bagtas, Tanza",2.76,3.0,1.0,53.0,63.0,Bagtas,Tanza,Cavite
"Santo Toribio, Lipa",1.28,3.0,1.0,45.0,36.0,Santo Toribio,Lipa City,Batangas
"Gulod, Binangonan",3.0,3.0,3.0,132.0,66.0,Gulod,Binangonan,Rizal
"San Isidro, Antipolo",13.5,4.0,3.0,187.0,170.0,San Isidro,Antipolo,Rizal
"Ayala Alabang, Muntinlupa",163.0,4.0,4.0,304.0,741.0,New Alabang Village,Muntinlupa,Metro Manila
"Nangka, Consolacion, Central Visayas, Philippines Nangka, Consolacion",4.64,2.0,2.0,78.0,50.0,Nangka,Consolacion,Cebu
"Duquit, Mabalacat",11.8,3.0,3.0,190.0,137.0,Duquit,Mabalacat City,Pampanga
"Sindalan, San Fernando",7.35,4.0,43.0,135.0,164.0,Sindalan,San Fernando,Pampanga
"Duquit, Mabalacat",12.5,4.0,4.0,203.0,120.0,Duquit,Mabalacat City,Pampanga
"Subabasbas, Lapu-Lapu",15.0,4.0,2.0,126.0,147.0,Subabasbas,Lapu-Lapu,Cebu
"Santol, Tanza",2.99,2.0,1.0,50.0,50.0,Santol,Tanza,Cavite
"Cadulawan, Talisay",48.0,5.0,7.0,769.0,407.0,Cadulawan,Talisay,Cebu
"Sapang Biabas, Mabalacat",2.16,2.0,1.0,50.0,65.0,Sapang Biabas,Mabalacat City,Pampanga
"Ayala Alabang, Muntinlupa",540.0,6.0,6.0,987.0,1442.0,New Alabang Village,Muntinlupa,Metro Manila
"Junob, Dumaguete",65.0,8.0,5.0,1000.0,3289.0,Junob,Dumaguete City,Negros Oriental
"Ayala Alabang, Muntinlupa",470.0,7.0,7.0,1500.0,900.0,New Alabang Village,Muntinlupa,Metro Manila
"Ayala Alabang, Muntinlupa",110.0,4.0,5.0,400.0,300.0,New Alabang Village,Muntinlupa,Metro Manila
"Ayala Alabang, Muntinlupa",188.0,5.0,5.0,800.0,688.0,New Alabang Village,Muntinlupa,Metro Manila
"Rosal Street Corner Betty Go New Manila, Quezon City",60.0,5.0,5.0,384.0,122.0,Mariana,Quezon City,Metro Manila
"Anabu I-D, Imus",11.3,4.0,3.0,203.0,150.0,Katarungan Village,Imus,Cavite
"Salitran III, Dasmarinas",9.27,4.0,3.0,121.0,120.0,Salitran III,Dasmariñas,Cavite
"Communal, Davao",7.6,4.0,4.0,100.0,100.0,Buhangin,Davao City,Davao del Sur
"Pasadena, San Juan",35.12,5.0,5.0,264.0,92.58,Pasadeña,San Juan City,Metro Manila
"Pasadena, San Juan",35.71,4.0,4.0,257.0,82.03,Pasadeña,San Juan City,Metro Manila
"Alabang, Muntinlupa",16.88,5.0,4.0,195.0,240.0,Alabang,Muntinlupa City,Metro Manila
"Don Bosco, Paranaque",26.0,4.0,4.0,150.0,87.0,Don Bosco,Parañaque,Metro Manila
"Caysio Road, Santa Maria, Bulacan Caysio, Santa Maria",5.4,3.0,2.0,75.26,80.0,Caysio,Santa Maria,Bulacan
"Pasadena, San Juan",24.59,3.0,2.0,183.0,54.67,Pasadeña,San Juan City,Metro Manila
"186 Averilla St., San Juan City Little Baguio, San Juan",42.0,4.0,5.0,280.0,100.0,Little Baguio,San Juan City,Metro Manila
"Brgy. Sta. Monica Novaliches, Quezon City",10.28,4.0,4.0,220.0,92.0,Novaliches,Quezon City,Metro Manila
"Santo Rosario, Magalang",3.19,3.0,2.0,54.0,90.0,Santo Rosario,Magalang,Pampanga
"Nuvali Blvd, 4026 Santa Rosa, Philippines Canlubang, Calamba",10.76,3.0,2.0,85.0,138.0,Canlubang,Calamba City,Laguna
"Dau, Mabalacat",8.3,3.0,3.0,144.0,100.0,Barangay Dau,Mabalacat City,Pampanga
"East Fairview near Commonwealth Quezon City Fairview, Quezon City",6.2,3.0,3.0,100.0,30.0,Novaliches,Quezon City,Metro Manila
"Inchican, Silang",35.0,4.0,5.0,368.0,277.0,Inchican,Silang,Cavite
"Batasan Hills, Quezon City",14.0,3.0,3.0,170.0,121.0,Batasan Hills,Quezon City,Metro Manila
"San Luis, Antipolo",16.0,2.0,2.0,100.0,200.0,San Luis,Antipolo,Rizal
"Lot 2-A Benefits corner Dividend Street Project 8, Quezon City",12.8,3.0,3.0,165.0,52.0,Project 8,Quezon City,Metro Manila
"Bagbag, Quezon City",5.12,3.0,2.0,68.0,50.0,Bagbag,Quezon City,Metro Manila
"Matungao, Bulacan",2.18,,,26.5,107.0,Matungao,Bulakan,Bulacan
"Poblacion, Pulilan",15.0,3.0,2.0,250.0,484.0,Poblacion,Pulilan,Bulacan
"Ayala Alabang, Muntinlupa",420.0,5.0,6.0,1172.0,762.0,New Alabang Village,Muntinlupa,Metro Manila
"Lourdes, Quezon City",33.0,4.0,5.0,309.0,93.0,Lourdes,Quezon City,Metro Manila
"Poblacion, Makati",78.0,3.0,3.0,250.0,150.0,Poblacion,Makati City,Metro Manila
Las Pinas,19.5,5.0,4.0,386.0,251.0,,Las Piñas,Metro Manila
"Culiat, Quezon City",24.43,4.0,4.0,350.0,110.0,Culiat,Quezon City,Metro Manila
"Poblacion V, General Luna",250.0,4.0,3.0,200.0,3000.0,Poblacion V (Purok V),General Luna,Surigao del Norte
"Congressional Avenue, Quezon City",11.3,3.0,3.0,120.0,60.0,,Quezon City,Metro Manila
"Guadalupe, Cebu",15.0,4.0,3.0,150.0,120.0,Guadalupe,Cebu City,Cebu
"McKinley Hill, Taguig",115.0,4.0,4.0,324.0,190.0,Mckinley Hill,Taguig,Metro Manila
"Ayala Alabang, Muntinlupa",250.0,5.0,5.0,700.0,747.0,New Alabang Village,Muntinlupa,Metro Manila
"Barangay Sindalan, San Fernando, Pampanga Sindalan, San Fernando",7.65,4.0,3.0,135.0,164.0,Sindalan,San Fernando,Pampanga
"Ayala Alabang, Muntinlupa",188.0,4.0,4.0,800.0,688.0,New Alabang Village,Muntinlupa,Metro Manila
"Batasan Hills, Quezon City",1200.0,5.0,7.0,1024.0,8000.0,Batasan Hills,Quezon City,Metro Manila
Pasig,24.0,5.0,3.0,450.0,250.0,,Pasig,Metro Manila
"Sanja Mayor, Tanza",2.88,3.0,2.0,60.0,52.0,Sanja Mayor,Tanza,Cavite
"Del Carmen, San Fernando",1.87,2.0,1.0,47.0,40.0,Del Carmen,San Fernando,Pampanga
"Ayala Alabang, Muntinlupa",180.0,3.0,3.0,650.0,650.0,New Alabang Village,Muntinlupa,Metro Manila
"Almanza Dos, Las Pinas",7.0,4.0,2.0,150.0,163.0,Almanza Dos,Las Piñas,Metro Manila
"F. Rodelas Rd. Barangay Bolbok Lipa City Bolbok, Lipa",2.91,3.0,2.0,60.5,50.0,Bolbok,Lipa City,Batangas
"Langkiwa, Binan",7.3,3.0,3.0,250.0,202.0,Langkiwa,Biñan,Laguna
"Sun Valley, Paranaque",12.0,5.0,5.0,210.0,75.0,Sun Valley,Parañaque,Metro Manila
"Ayala Alabang, Muntinlupa",180.0,4.0,5.0,600.0,720.0,New Alabang Village,Muntinlupa,Metro Manila
"McKinley Hill Dr, 1634 Taguig City, Philippines McKinley Hill, Taguig",198.0,5.0,6.5,642.0,288.0,McKinley Hill,Taguig,Metro Manila
"San Luis, Antipolo",19.5,5.0,5.0,,542.0,San Luis,Antipolo,Rizal
"Aldea Grove Estate Angeles Pampanga Mining, Angeles",10.81,3.0,2.0,95.0,129.0,Barangay Mining,Angeles,Pampanga
"Bagumbong, Caloocan City North, National Capital Region, Philippines Bagumbong, Caloocan",3.7,3.0,1.0,57.0,56.25,Bagumbong,Caloocan,Metro Manila
"Fairview, Quezon City",18.0,5.0,3.0,300.0,400.0,Fairview,Quezon City,Metro Manila
"McKinley Hill, Taguig",135.0,4.0,5.0,450.0,189.0,Mckinley Hill,Taguig,Metro Manila
"Talon Dos, Las Pinas",8.5,4.0,2.0,160.0,102.0,Talon Dos,Las Piñas,Metro Manila
"Filinvest 2 Batasan Commonwealth Quezon City Townhouse Katipunan, Teachers Village, UP Diliman, Ateneo, Miriam, City Hall, Philippine Kidney Hospital, Heart Center, Lung Center, MRT EDSA, SM North EDSA, Trinoma Congress, Batasang Pambansa House and Lot, Commonwealth, Quezon City",22.5,4.0,4.0,246.0,194.0,Teachers Village,Quezon City,Metro Manila
"Tandang Sora, Quezon City",9.75,4.0,4.0,148.73,58.53,Tandang Sora,Quezon City,Metro Manila
"B.F. Homes, Paranaque",24.95,5.0,4.0,250.0,280.0,B. F. Homes,Parañaque,Metro Manila
"Ugong, Pasig",162.0,4.0,4.0,400.0,479.0,Ugong,Pasig,Metro Manila
"Ayala Alabang, Muntinlupa",32.43,7.0,7.0,1500.0,900.0,New Alabang Village,Muntinlupa,Metro Manila
"Novaliches, Quezon City",5.71,3.0,4.0,117.0,43.33,Novaliches Proper,Quezon City,Metro Manila
"Talamban, Cebu",35.0,4.0,4.0,300.0,336.0,Talamban,Cebu City,Cebu
"B.F. Homes, Paranaque",34.0,4.0,5.0,380.0,286.0,B. F. Homes,Parañaque,Metro Manila
"Project 8, Quezon City",9.7,3.0,3.0,200.0,80.0,Project 8,Quezon City,Metro Manila
"Playa Calatagan House and lot for sale Santa Ana, Calatagan",29.0,5.0,4.0,200.0,591.0,,Calatagan,Batangas
"Santo Domingo, Santa Rosa",5.45,4.0,4.0,250.0,225.0,Santo Domingo,City of Santa Rosa,Laguna
"Amsic, Angeles",11.5,4.0,3.0,190.0,120.0,Amsic,Angeles,Pampanga
"Don Bosco, Paranaque",18.5,4.0,4.0,350.0,210.0,Don Bosco,Parañaque,Metro Manila
"San Ignacio, San Pablo",3.2,3.0,2.0,54.0,88.0,San Ignacio,San Pablo City,Laguna
"Sapalibutad, Angeles",7.22,4.0,3.0,189.0,182.0,Sapalibutad,Angeles,Pampanga
"Birmingham Metropolis 3 Countryside Pasig City Santa Lucia, Pasig",6.45,3.0,2.0,70.0,60.0,Santa Lucia,Pasig,Metro Manila
"New Manila, Quezon City",87.0,5.0,5.0,620.0,112.0,Mariana,Quezon City,Metro Manila
"Rosanna Heights, Barangay San Manuel, San Jose Del Monte, Bulacan Tungkong Mangga, San Jose del Monte",5.76,3.0,2.0,70.45,72.0,San Manuel,San Jose del Monte,Bulacan
"San Miguel, Pasig",8.5,4.0,,120.0,91.0,San Miguel,Pasig,Metro Manila
"Tandang Sora Quezon City House and Lot nr Congressional Mindanao Avenue Visayas Avenue Commonwealth Teachers Village, UP Diliman, Ateneo, Project 8, Philippine Kidney Hospital, Heart Lung Center SM North EDSA, Trinoma, Quirino Highway, Novaliches, Sauyo, Pasong Tamo, Quezon City",7.3,3.0,3.0,91.6,47.9,Project 8,Quezon City,Metro Manila
"Amsic, Angeles",18.5,4.0,3.0,217.0,246.0,Amsic,Angeles,Pampanga
"San Lorenzo, Makati",200.0,5.0,5.0,,470.0,San Lorenzo,Makati City,Metro Manila
"Buck Estate, Alfonso",25.0,5.0,4.0,,226.0,Buck Estate,Alfonso,Cavite
"Dasmarinas, Makati",750.0,5.0,5.0,600.0,1012.0,Dasmariñas,Makati City,Metro Manila
"Ma-A, Davao",13.6,4.0,3.0,148.0,150.0,Ma-a,Davao City,Davao del Sur
"Philippines, Manila, Barangay 521, San Diego Sampaloc, Manila",11.9,3.0,4.0,180.0,52.5,Sampaloc,Manila,Metro Manila
"Buhangin, Davao",14.0,5.0,4.0,300.0,162.0,Buhangin,Davao City,Davao del Sur
"Pinget, Baguio",6.8,1.0,1.0,35.0,168.0,Pinget,Baguio,Benguet
"Treveia, NUVALI, Barangay Canlubang, Calamba City, Laguna Canlubang, Calamba",30.0,4.0,4.0,302.0,250.0,Canlubang,Calamba,Laguna
Mandaluyong,33.0,4.0,4.0,275.0,201.0,,Mandaluyong City,Metro Manila
"Puting Kahoy, Silang",35.2,5.0,5.0,600.0,576.0,Puting Kahoy,Silang,Cavite
"Camarin, Caloocan",5.6,3.0,3.0,97.0,50.0,Camarin,Caloocan,Metro Manila
"Amsic, Angeles",15.5,4.0,3.0,220.0,165.0,Amsic,Angeles,Pampanga
"B.F. Homes, Paranaque",90.0,5.0,6.0,860.0,586.0,B. F. Homes,Parañaque,Metro Manila
Angeles,9.5,4.0,3.0,190.0,120.0,,Angeles,Pampanga
"Canlubang, Calamba",30.0,4.0,4.0,302.0,250.0,Canlubang,Calamba,Laguna
"Canlubang, Calamba",45.0,6.0,5.0,442.0,448.0,Canlubang,Calamba,Laguna
"Lagtang, Talisay",28.0,4.0,4.0,330.0,200.0,Lagtang,Talisay,Cebu
"Almanza Dos, Las Pinas",29.0,3.0,5.0,220.0,256.0,Almanza Dos,Las Piñas,Metro Manila
"Fort Bonifacio, Taguig",132.0,5.0,5.0,,188.0,Fort Bonifacio,Taguig,Metro Manila
"Puting Kahoy, Silang",68.0,4.0,5.0,506.0,389.0,Puting Kahoy,Silang,Cavite
"Western Bicutan, Taguig",11.0,3.0,3.0,100.0,30.0,Western Bicutan,Taguig,Metro Manila
"San Ignacio, San Pablo",1.8,2.0,1.0,40.0,44.0,San Ignacio,San Pablo City,Laguna
"Fort Bonifacio, Taguig",132.0,5.0,5.0,,188.0,Fort Bonifacio,Taguig,Metro Manila
"Almanza Dos, Las Pinas",29.0,3.0,5.0,220.0,256.0,Almanza Dos,Las Piñas,Metro Manila
"Mining, Angeles, Pampanga, Philippines Mining, Angeles",12.0,4.0,3.0,186.0,120.0,Mining,Angeles,Pampanga
"Talon Singko, Las Pinas",7.0,3.0,3.0,112.0,89.0,Talon Singko,Las Piñas,Metro Manila
"Fairview, Quezon City",8.35,3.0,3.0,102.0,68.0,Fairview,Quezon City,Metro Manila
"Almanza Dos, Las Pinas",25.0,4.0,5.0,250.0,235.0,Almanza Dos,Las Piñas,Metro Manila
"Cabilang Baybay, Carmona",62.0,5.0,5.0,447.0,816.0,Cabilang Baybay,Carmona,Cavite
"Inchican, Silang",35.4,4.0,4.0,391.0,336.0,Inchican,Silang,Cavite
"San Isidro, Cainta",16.8,4.0,4.0,221.23,201.9,San Isidro,Cainta,Rizal
"Sacred Heart, Quezon City",66.06,3.0,2.0,,367.0,Diliman,Quezon City,Metro Manila
"Cupang, Muntinlupa",78.0,4.0,5.0,382.06,603.0,Cupang,Muntinlupa City,Metro Manila
"Santo Nino, Cainta",14.58,4.0,4.0,264.0,100.0,Santo Niño,Cainta,Rizal
"Fairview, Quezon City",9.93,6.0,4.0,160.0,68.0,Fairview,Quezon City,Metro Manila
"Tambo, Paranaque",96.0,,,700.0,800.0,Tambo,Parañaque,Metro Manila
"Daang Hari Road, Bacoor",7.8,3.0,3.0,83.0,103.0,,Bacoor,Cavite
"Sun Valley Estates Brgy San Juan Antipolo City Bagong Nayon, Antipolo",16.65,4.0,5.0,172.0,264.0,San Juan,Antipolo,Rizal
"Carnation, 1118 Quezon City, Philippines Fairview, Quezon City",9.85,6.0,5.0,170.42,74.5,Fairview,Quezon City,Metro Manila
"Saint Ignatius, Quezon City",61.44,3.0,3.0,250.0,384.0,Saint Ignatius,Quezon City,Metro Manila
"Sindalan, San Fernando, Central Luzon, Philippines Sindalan, San Fernando",7.35,4.0,3.0,135.0,164.0,Sindalan,San Fernando,Pampanga
"Canlubang, Calamba",30.0,4.0,4.0,310.0,243.0,Canlubang,Calamba,Laguna
"Ayala Alabang, Muntinlupa",222.25,4.0,4.0,700.0,910.0,New Alabang Village,Muntinlupa,Metro Manila
"Ayala Alabang, Muntinlupa",205.0,6.0,4.0,600.0,870.0,New Alabang Village,Muntinlupa,Metro Manila
"Tandang Sora, Quezon City",9.85,4.0,4.0,150.0,58.7,Tandang Sora,Quezon City,Metro Manila
"Bel-Air, Makati",400.0,5.0,3.0,654.0,698.0,Bel-Air,Makati City,Metro Manila
"Ugong, Valenzuela",5.7,3.0,3.0,82.0,65.0,Ugong,Valenzuela,Metro Manila
"Cacarong Matanda, Pandi",1.23,2.0,1.0,46.6,36.0,Cacarong Matanda,Pandi,Bulacan
"Santa Monica, Quezon City",10.67,3.0,3.0,143.0,66.0,Santa Monica,Quezon City,Metro Manila
"Tandang Sora, Quezon City",9.85,4.0,4.0,150.0,58.7,Tandang Sora,Quezon City,Metro Manila
"Tanauan, Tanza",1.86,2.0,1.0,40.0,60.5,Tanauan,Tanza,Cavite
"Puting Kahoy, Silang",95.0,6.0,5.0,668.0,478.0,Puting Kahoy,Silang,Cavite
"Plaridel, Lipa",5.9,4.0,3.0,88.35,240.0,Plaridel,Lipa City,Batangas
Paranaque,16.0,4.0,4.0,350.0,120.0,,Parañaque,Metro Manila
"Santa Lucia, San Juan",40.0,3.0,3.0,272.0,,Santa Lucia,San Juan City,Metro Manila
Pasig,9.0,4.0,2.0,300.0,120.0,,Pasig,Metro Manila
"Amsic, Angeles",30.0,6.0,5.0,350.0,800.0,Amsic,Angeles,Pampanga
"Diliman, Quezon City",12.9,3.0,3.0,130.0,48.5,Diliman,Quezon City,Metro Manila
"Sucat, Muntinlupa",28.0,3.0,2.0,219.0,186.0,Sucat,Muntinlupa City,Metro Manila
"Cacarong Matanda, Pandi",1.23,2.0,1.0,46.6,36.0,Cacarong Matanda,Pandi,Bulacan
"Santa Monica, Quezon City",10.67,3.0,3.0,143.0,66.0,Santa Monica,Quezon City,Metro Manila
"Bel-Air, Makati",400.0,5.0,3.0,654.0,698.0,Bel-Air,Makati City,Metro Manila
"Brgy Tanauan Tanza Cavite Tanauan, Tanza",4.34,3.0,2.0,112.5,72.0,Tanauan,Tanza,Cavite
"Ugong, Valenzuela",5.7,3.0,3.0,82.0,65.0,Ugong,Valenzuela,Metro Manila
"Capitol Hills, Quezon City",36.5,4.0,3.0,212.0,126.0,Capitol Hills,Quezon City,Metro Manila
"White Plains, Quezon City",165.0,6.0,6.0,800.0,433.0,White Plains,Quezon City,Metro Manila
"Francisco, Tagaytay",21.25,5.0,,180.0,352.0,Francisco (San Francisco),Tagaytay City,Cavite
"Puting Kahoy, Silang",68.0,4.0,4.0,508.0,380.0,Puting Kahoy,Silang,Cavite
"Balingasa, Quezon City",40.7,4.0,4.0,329.0,124.0,Balingasa,Quezon City,Metro Manila
"Daang Hari Road Almanza Dos, Las Pinas",37.86,3.0,4.0,278.0,252.0,Almanza Dos,Las Piñas,Metro Manila
"Magallanes, Makati",125.0,4.0,4.0,400.0,401.0,Magallanes,Makati City,Metro Manila
"molave highland subdivision Lamac, Consolacion",17.5,3.0,2.0,250.0,202.0,Lamac,Consolacion,Cebu
"Mambugan, Antipolo",70.0,5.0,8.0,600.0,800.0,Mambugan,Antipolo,Rizal
"Tabalong, Dauis",13.5,3.0,3.0,200.0,1000.0,Tabalong,Dauis,Bohol
"Poblacion, Muntinlupa",20.0,3.0,2.0,300.0,300.0,Poblacion,Muntinlupa,Metro Manila
"Del Monte, Island of garden Samal, Samal",2.5,2.0,1.0,42.0,100.0,Del Monte,Samal,Davao del Norte
"Dapdap, Mactan Island, Cebu, Lapu-Lapu City, Philippines Mactan, Lapu-Lapu",35.0,5.0,,320.0,496.0,Dapdap,Lapu-Lapu,Cebu
"White Plains, Quezon City",165.0,6.0,5.0,850.0,433.0,White Plains,Quezon City,Metro Manila
"Culiat, Quezon City",15.5,3.0,4.0,185.0,78.0,Culiat,Quezon City,Metro Manila
Talisay,56.0,6.0,5.0,687.0,421.0,,Talisay,Cebu
"Puting Kahoy, Silang",60.5,4.0,4.0,600.0,450.0,Puting Kahoy,Silang,Cavite
"El Monteverde Subd, 6001 Consolacion, Philippines Lamac, Consolacion",29.0,4.0,4.0,304.0,356.0,Lamac,Consolacion,Cebu
"Ayala Alabang, Muntinlupa",170.0,6.0,5.0,500.0,695.0,New Alabang Village,Muntinlupa,Metro Manila
"Kaligayahan, Quezon City",10.28,5.0,3.0,197.0,77.0,Kaligayahan,Quezon City,Metro Manila
Angeles,15.7,4.0,3.0,165.0,220.0,,Angeles,Pampanga
"Telabastagan, San Fernando",10.0,4.0,3.0,128.0,150.0,Telabastagan,San Fernando,Pampanga
"Ugong, Pasig",100.0,5.0,5.0,460.0,190.0,Ugong,Pasig,Metro Manila
"Clark, Mabalacat",19.0,3.0,3.0,245.0,433.0,,Mabalacat City,Pampanga
"Cuayan, Angeles",12.8,3.0,3.0,172.0,165.0,Cuayan,Angeles,Pampanga
"Ayala Southvale Primera Bacoor, Cavite Molino I, Bacoor",70.0,4.0,4.0,480.0,518.0,Molino I,Bacoor,Cavite
"Cupang, Muntinlupa",66.0,5.0,5.0,500.0,450.0,Cupang,Muntinlupa City,Metro Manila
"Makiling, Calamba",3.35,,,149.0,132.0,Makiling,Calamba,Laguna
"B.F. Homes, Paranaque",25.0,5.0,4.0,300.0,280.0,B. F. Homes,Parañaque,Metro Manila
"Tandang Sora, Quezon City",10.9,3.0,3.0,140.0,80.0,Tandang Sora,Quezon City,Metro Manila
"Ugong, Pasig",36.5,4.0,3.0,240.0,170.0,Ugong,Pasig,Metro Manila
"Biday, San Fernando",5.36,3.0,2.0,80.0,81.0,Biday,San Fernando City,La Union
"Inchican, Silang",89.0,4.0,4.0,600.0,396.0,Inchican,Silang,Cavite
"San Gregorio, Laurel",5.0,2.0,3.0,120.0,82.0,San Gregorio,Laurel,Batangas
"Matandang Balara, Quezon City",120.0,8.0,7.0,720.0,402.0,Matandang Balara,Quezon City,Metro Manila
"Culiat, Quezon City",9.5,3.0,3.0,136.5,83.73,Culiat,Quezon City,Metro Manila
"Canlubang, Calamba",35.0,6.0,7.0,400.0,367.0,Canlubang,Calamba,Laguna
"Pilar, Las Pinas",9.5,2.0,2.0,145.0,192.0,Pilar,Las Piñas,Metro Manila
"Loyola Heights, Quezon City",120.0,13.0,13.0,1250.0,1000.0,Loyola Heights,Quezon City,Metro Manila
"Santa Maria, Mabalacat",19.0,3.0,3.0,245.0,433.0,Santa Maria,Mabalacat City,Pampanga
"Puting Kahoy, Silang",60.0,4.0,4.0,446.0,352.0,Puting Kahoy,Silang,Cavite
"Teachers Village East, Quezon City",33.0,3.0,,,412.0,Diliman,Quezon City,Metro Manila
"katarungan Poblacion, Muntinlupa",8.0,4.0,4.0,210.0,78.0,Katarungan,Muntinlupa,Metro Manila
"Talon Dos, Las Pinas",25.0,6.0,6.0,380.0,420.0,Talon Dos,Las Piñas,Metro Manila
"Maligaya, Dinalupihan",14.0,4.0,3.0,200.0,10000.0,Maligaya,Dinalupihan,Bataan
"Maligaya, Dinalupihan",14.0,4.0,3.0,200.0,10000.0,Maligaya,Dinalupihan,Bataan
"Don Bosco, Paranaque",14.0,4.0,4.0,225.0,118.0,Don Bosco,Parañaque,Metro Manila
"katarungan Poblacion, Muntinlupa",8.0,4.0,4.0,210.0,78.0,Katarungan Poblacion,Muntinlupa,Metro Manila
"Sabang, Morong",65.0,4.0,4.0,400.0,575.0,Sabang,Morong,Bataan
"Pasong Tamo, Quezon City",7.3,3.0,3.0,91.6,47.9,Pasong Tamo,Quezon City,Metro Manila
"Mambog II, Bacoor",25.0,5.0,5.0,232.14,175.0,Mambog II,Bacoor,Cavite
"San Juan, Taytay",10.4,4.0,3.0,190.0,110.0,San Juan,Taytay,Rizal
"Fairview, Quezon City",4.75,3.0,2.0,91.19,60.0,Fairview,Quezon City,Metro Manila
"Francisco, Tagaytay",14.5,4.0,2.0,120.0,240.0,Francisco (San Francisco),Tagaytay City,Cavite
"Sta. Cruz, Arevalo, Iloilo City Mohon, Iloilo",7.9,4.0,4.0,175.0,240.0,Mohon,Iloilo City,Iloilo
"Bonuan Boquig, Dagupan",5.73,4.0,2.0,100.0,190.0,Bonuan Boquig,Dagupan City,Pangasinan
"Lalakay, Los Banos",28.5,5.0,4.0,300.0,321.0,Lalakay,Los Baños,Laguna
"Camp 7, Baguio",25.0,5.0,3.0,250.0,183.0,Camp 7,Baguio,Benguet
"San Isidro, Paranaque",4.66,2.0,2.0,36.0,38.0,San Isidro,Parañaque,Metro Manila
"Marcelo Green Village, Paranaque, National Capital Region, Philippines Marcelo Green Village, Paranaque",16.5,4.0,4.0,250.0,370.0,Marcelo Green,Parañaque,Metro Manila
"San Miguel, Pasig",7.0,3.0,2.0,100.3,72.0,San Miguel,Pasig,Metro Manila
"Merville, Paranaque",38.0,3.0,3.0,330.0,420.0,Merville,Parañaque,Metro Manila
"San Antonio, Binan",2.65,2.0,1.0,43.0,45.0,San Antonio,Biñan,Laguna
"Calubcub II, San Juan",85.0,5.0,6.0,1080.0,1700.0,Calubcub II,San Juan,Batangas
"Ayala Alabang, Muntinlupa",420.0,7.0,7.0,1233.0,816.0,New Alabang Village,Muntinlupa,Metro Manila
"Loakan Proper, Baguio",7.9,4.0,2.0,90.0,100.0,Loakan Proper,Baguio,Benguet
"Tugbok, Davao",20.0,3.0,2.0,200.0,281.0,Tugbok,Davao City,Davao del Sur
Angeles,24.0,4.0,4.0,290.0,246.0,,Angeles,Pampanga
"Liburon, Carcar",2.35,3.0,1.0,47.0,40.0,Liburon,Carcar,Cebu
"Biday, San Fernando",8.69,4.0,3.0,143.0,94.0,Biday,San Fernando City,La Union
"San Miguel, Pasig",26.95,5.0,,500.0,362.0,San Miguel,Pasig,Metro Manila
"Greenhills, San Juan, National Capital Region, Philippines Greenhills, San Juan",35.71,7.0,7.0,1357.0,1000.0,Greenhills,San Juan City,Metro Manila
"Biday, San Fernando",10.54,3.0,2.0,134.0,188.0,Biday,San Fernando City,La Union
"Don Bosco, Paranaque",18.0,6.0,6.0,235.5,210.0,Don Bosco,Parañaque,Metro Manila
"Plainview, Mandaluyong",22.8,4.0,4.0,228.0,55.0,Plainview,Mandaluyong City,Metro Manila
"Bakakeng North, Baguio",20.0,4.0,3.0,280.0,600.0,Bakakeng North,Baguio,Benguet
"Magallanes, Makati",115.0,4.0,3.0,275.0,350.0,Magallanes,Makati City,Metro Manila
"Camp 7, Baguio",17.97,5.0,3.0,150.0,335.0,Camp 7,Baguio,Benguet
"B. F. Homes, Paranaque, National Capital Region, Philippines B.F. Homes, Paranaque",45.0,5.0,5.0,459.32,308.0,B. F. Homes,Parañaque,Metro Manila
"Mendez Crossing East, Tagaytay",2.04,3.0,1.0,54.0,50.0,Mendez Crossing East,Tagaytay City,Cavite
"Mayamot, Antipolo",12.5,4.0,3.0,211.0,90.0,Mayamot,Antipolo,Rizal
"Guada Plains Guadalupe, Cebu",25.0,5.0,4.0,211.0,182.0,Guada Plains,Cebu City,Cebu
"Panicsican, San Juan",9.75,4.0,2.0,148.0,140.0,Panicsican,San Juan,La Union
"San Antonio, San Pedro",7.5,5.0,3.0,188.0,197.0,San Antonio,San Pedro,Laguna
"San Francisco, Binan",13.07,4.0,3.0,147.0,304.0,San Francisco (Halang),Biñan,Laguna
